% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
11655	1	4	5	0	0	28	749	0	1	1	0
11655	1	6	6	0	0	24	533	0	1	1	0
11655	1	1	7	0	0	28	749	0	1	1	0
11735	1	2	4	0	0	28	1095	0	1	1	0
11735	1	7	2	0	0	28	1095	0	1	1	0
11815	1	3	1	0	0	28	2196	0	1	1	0
12055	1	5	8	0	0	28	2196	0	1	1	0
12135	1	4	5	0	0	28	749	0	1	1	0
12135	1	6	6	0	0	28	749	0	1	1	0
12135	1	1	7	0	0	28	749	0	1	1	0
12215	1	2	4	0	0	28	1095	0	1	0	0
12215	1	7	2	0	0	28	1095	0	1	1	0
12222	1	2	4	0	0	28	1095	1	0	1	0
12295	1	3	1	0	0	28	2196	0	1	1	0
12535	1	5	8	0	0	22	1383	0	1	1	0
12615	1	4	5	0	0	28	749	0	1	1	0
12615	1	6	6	0	0	28	749	0	1	1	0
12615	1	1	7	0	0	24	533	0	1	1	0
12695	1	2	4	0	0	28	1095	0	1	1	0
12695	1	7	2	0	0	24	807	0	1	0	0
12702	1	7	2	0	0	24	807	1	0	1	0
12775	1	3	1	0	0	22	1383	0	1	1	0
13015	1	5	8	0	0	26	1836	0	1	1	0
13095	1	4	5	0	0	28	1095	0	1	1	0
13095	1	6	6	0	0	28	1095	0	1	1	0
13096	1	1	7	0	0	24	1620	0	1	1	0
13175	1	2	4	0	0	24	807	0	1	1	0
13175	1	7	2	0	0	28	1095	0	1	1	0
13255	1	3	1	0	0	28	2196	0	1	1	0
13495	1	5	8	0	0	28	2196	0	1	1	0
13575	1	4	5	0	0	28	749	0	1	1	0
13575	1	6	6	0	0	22	469	0	1	0	0
13575	1	1	7	0	0	24	533	0	1	1	0
13582	1	6	6	0	0	22	469	1	0	1	0
13655	1	2	4	0	0	24	807	0	1	1	0
13655	1	7	2	0	0	28	1095	0	1	1	0
13735	1	3	1	0	0	28	2196	0	1	1	0
13975	1	5	8	0	0	28	2196	0	1	1	0
14055	1	4	5	0	0	28	749	0	1	1	0
14055	1	6	6	0	0	20	389	0	1	0	0
14055	1	1	7	0	0	28	749	0	1	1	0
14062	1	6	6	0	0	20	389	1	0	1	0
14135	1	2	4	0	0	28	1095	0	1	1	0
14135	1	7	2	0	0	28	1095	0	1	1	0
14235	1	3	1	0	0	24	1620	0	1	1	0
14455	1	5	8	0	0	28	2196	0	1	1	0
14535	1	6	6	0	0	28	1095	0	1	1	0
14535	1	1	7	0	0	28	1095	0	1	1	0
14615	1	2	4	0	0	24	533	0	1	1	0
14615	1	7	2	0	0	28	749	0	1	0	0
14615	1	4	5	0	0	28	749	0	1	1	0
14622	1	7	2	0	0	28	749	1	0	1	0
14695	1	3	1	0	0	24	1620	0	1	0	0
14702	1	3	1	0	0	24	1620	1	0	1	0
14935	1	5	8	0	0	28	2196	0	1	1	0
15015	1	6	6	0	0	20	597	0	1	0	0
15015	1	1	7	0	0	28	1095	0	1	1	0
15022	1	6	6	0	0	20	597	1	0	1	0
15095	1	2	4	0	0	28	749	0	1	1	0
15095	1	7	2	0	0	28	749	0	1	1	0
15095	1	4	5	0	0	28	749	0	1	1	0
15175	1	3	1	0	0	28	2196	0	1	1	0
15415	1	5	8	0	0	28	2196	0	1	1	0
15495	1	6	6	0	0	28	1095	0	1	1	0
15495	1	1	7	0	0	28	1095	0	1	1	0
15575	1	2	4	0	0	28	749	0	1	1	0
15575	1	7	2	0	0	28	749	0	1	1	0
15575	1	4	5	0	0	28	749	0	1	1	0
15655	1	3	1	0	0	28	2196	0	1	1	0
15871	1	1	7	0	0	20	1191	0	1	1	0
15872	1	1	7	0	0	20	1191	0	1	1	0
15895	1	5	8	0	0	20	1191	0	1	1	0
15975	1	6	6	0	0	28	2196	0	1	1	0
16055	1	2	4	0	0	28	1095	0	1	1	0
16055	1	7	2	0	0	22	693	0	1	1	0
16135	1	3	1	0	0	28	2196	0	1	1	0
16375	1	5	8	0	0	22	1383	0	1	1	0
16455	1	6	6	0	0	28	2196	0	1	1	0
16535	1	2	4	0	0	28	1095	0	1	1	0
16535	1	7	2	0	0	28	1095	0	1	1	0
16615	1	4	5	0	0	28	2196	0	1	1	0
16850	1	3	1	0	0	28	2196	0	1	1	0
16855	1	5	8	0	0	28	2196	0	1	1	0
16935	1	6	6	0	0	28	2196	0	1	1	0
17015	1	2	4	0	0	24	807	0	1	1	0
17015	1	7	2	0	0	24	807	0	1	1	0
17095	1	3	1	0	0	28	1095	0	1	0	0
17095	1	4	5	0	0	28	1095	0	1	1	0
17102	1	3	1	0	0	28	1095	1	0	1	0
17335	1	5	8	0	0	28	2196	0	1	1	0
17415	1	6	6	0	0	28	2196	0	1	1	0
17495	1	2	4	0	0	26	903	0	1	1	0
17495	1	7	2	0	0	28	1095	0	1	0	0
17502	1	7	2	0	0	28	1095	1	0	1	0
17575	1	3	1	0	0	28	1095	0	1	1	0
17575	1	4	5	0	0	28	1095	0	1	1	0
17822	1	5	8	0	0	22	1383	0	1	1	0
17895	1	6	6	0	0	28	2196	0	1	1	0
17975	1	2	4	0	0	22	693	0	1	1	0
17975	1	7	2	0	0	28	1095	0	1	1	0
18055	1	3	1	0	0	28	1095	0	1	0	0
18055	1	4	5	0	0	28	1095	0	1	1	0
