% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
10.366	1	3	1037	7	1	12	621	0
10.606	1	5	1061	7	8	28	2292	0
10.686	1	4	1069	7	5	28	749	0
10.686	1	6	1069	7	6	28	749	0
10.686	1	1	1069	7	7	26	621	0
10.706	1	4	1071	7	5	28	2292	0
10.766	1	7	1077	7	2	28	1095	0
10.766	1	2	1077	7	4	28	1095	0
10.846	1	3	1085	7	1	22	1431	0
11.086	1	5	1109	7	8	26	1908	0
11.166	1	4	1117	7	5	28	749	0
11.166	1	6	1117	7	6	28	749	0
11.166	1	1	1117	7	7	8	137	0
11.246	1	7	1125	7	2	24	807	0
11.246	1	2	1125	7	4	24	807	0
11.266	1	7	1127	7	2	24	1692	0
11.326	1	3	1133	7	1	22	1431	0
11.566	1	5	1157	7	8	4	225	0
11.646	1	4	1165	7	5	28	749	0
11.646	1	6	1165	7	6	28	749	0
11.646	1	1	1165	7	7	28	749	0
11.726	1	7	1173	7	2	10	261	0
11.726	1	2	1173	7	4	20	645	0
11.806	1	3	1181	7	1	26	1908	0
12.046	1	5	1205	7	8	6	325	0
12.126	1	4	1213	7	5	28	749	0
12.126	1	6	1213	7	6	28	749	0
12.126	1	1	1213	7	7	18	357	0
12.206	1	7	1221	7	2	22	693	0
12.206	1	2	1221	7	4	28	1095	0
12.226	1	2	1223	7	4	28	2292	0
12.286	1	3	1229	7	1	20	1335	0
12.526	1	5	1253	7	8	20	1335	0
12.606	1	4	1261	7	5	28	749	0
12.606	1	6	1261	7	6	28	749	0
12.606	1	1	1261	7	7	26	621	0
12.686	1	7	1269	7	2	22	693	0
12.686	1	2	1269	7	4	28	1095	0
12.706	1	7	1271	7	2	8	437	0
12.766	1	3	1277	7	1	18	1143	0
13.006	1	5	1301	7	8	12	621	0
13.086	1	4	1309	7	5	22	469	0
13.086	1	6	1309	7	6	24	533	0
13.087	1	1	1309	8	7	16	967	0
13.166	1	7	1317	7	2	22	693	0
13.166	1	2	1317	7	4	16	453	0
13.246	1	3	1325	7	1	24	1692	0
13.486	1	5	1349	7	8	28	2292	0
13.566	1	4	1357	7	5	28	749	0
13.566	1	6	1357	7	6	22	469	0
13.566	1	1	1357	7	7	20	437	0
13.586	1	6	1359	7	6	22	1431	0
13.646	1	7	1365	7	2	28	1095	0
13.646	1	2	1365	7	4	28	1095	0
13.726	1	3	1373	7	1	18	1143	0
13.966	1	5	1397	7	8	28	2292	0
14.046	1	4	1405	7	5	28	749	0
14.046	1	6	1405	7	6	24	533	0
14.046	1	1	1405	7	7	12	201	0
14.066	1	6	1407	7	6	18	1143	0
14.126	1	7	1413	7	2	20	645	0
14.126	1	2	1413	7	4	22	693	0
14.206	1	3	1421	7	1	6	325	0
