% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
4.128	1	5	8	552.391	0
4.161	1	3	1	847.807	0
4.162	1	7	2	158.01	0
4.164	1	2	4	154.406	0
4.165	1	4	5	879.32	0
4.166	1	6	6	696.394	0
4.167	1	1	7	240.552	0
4.168	1	5	8	463.854	0
4.201	1	3	1	1062.59	0
4.202	1	7	2	275.753	0
4.204	1	2	4	100.345	0
4.205	1	4	5	767.572	0
4.206	1	6	6	71.9647	0
4.207	1	1	7	474.122	0
4.208	1	5	8	143.541	0
4.241	1	3	1	760.466	0
4.242	1	7	2	189.368	0
4.244	1	2	4	171.641	0
4.245	1	4	5	87.6955	0
4.246	1	6	6	747.654	0
4.247	1	1	7	867.491	0
4.248	1	5	8	388.614	0
4.281	1	3	1	190.129	0
4.282	1	7	2	178.776	0
4.284	1	2	4	453.482	0
4.285	1	4	5	395.465	0
4.286	1	6	6	1029.52	0
4.287	1	1	7	473.996	0
4.288	1	5	8	272.683	0
4.321	1	3	1	1516.58	0
4.322	1	7	2	592.587	0
4.324	1	2	4	721.964	0
4.325	1	4	5	140.751	0
4.326	1	6	6	595.887	0
4.327	1	1	7	108.275	0
4.328	1	5	8	83.7718	0
4.361	1	3	1	1257.88	0
4.362	1	7	2	241.688	0
4.364	1	2	4	308.603	0
4.365	1	4	5	204.748	0
4.366	1	6	6	397.388	0
4.367	1	1	7	383.365	0
4.368	1	5	8	53.859	0
4.401	1	3	1	428.094	0
4.402	1	7	2	89.5322	0
4.404	1	2	4	2062.3	0
4.405	1	4	5	263.711	0
4.406	1	6	6	1027.54	0
4.407	1	1	7	339.661	0
4.408	1	5	8	42.3193	0
4.441	1	3	1	1058.48	0
4.442	1	7	2	186.48	0
4.444	1	2	4	2881.59	0
4.445	1	4	5	889.996	0
4.446	1	6	6	767.961	0
4.447	1	1	7	81.1747	0
4.448	1	5	8	31.6529	0
4.481	1	3	1	962.486	0
4.482	1	7	2	20.5806	0
4.484	1	2	4	864.468	0
4.485	1	4	5	861.683	0
4.486	1	6	6	42.066	0
4.487	1	1	7	123.846	0
4.488	1	5	8	113.015	0
4.521	1	3	1	1872.57	0
4.522	1	7	2	466.372	0
4.524	1	2	4	108.937	0
4.525	1	4	5	218.482	0
4.526	1	6	6	1169.73	0
4.527	1	1	7	274.552	0
4.528	1	5	8	233.94	0
4.561	1	3	1	798.995	0
4.562	1	7	2	277.027	0
4.564	1	2	4	135.963	0
4.565	1	4	5	1038.72	0
4.566	1	6	6	1201.19	0
4.567	1	1	7	274.878	0
4.568	1	5	8	272.482	0
4.601	1	3	1	285.709	0
4.602	1	7	2	527.619	0
4.604	1	2	4	181.326	0
4.605	1	4	5	2702.26	0
4.606	1	6	6	3067.2	0
4.607	1	1	7	78.4093	0
4.608	1	5	8	137.878	0
4.641	1	3	1	931.218	0
4.642	1	7	2	182.888	0
4.644	1	2	4	594.814	0
4.645	1	4	5	2149.95	0
4.646	1	6	6	2838.68	0
4.647	1	1	7	521.204	0
4.648	1	5	8	88.314	0
4.681	1	3	1	633.164	0
4.682	1	7	2	98.0982	0
4.684	1	2	4	638.905	0
4.685	1	4	5	203.749	0
4.686	1	6	6	644.26	0
4.687	1	1	7	253.058	0
4.688	1	5	8	301.855	0
4.721	1	3	1	156.148	0
4.722	1	7	2	175.461	0
4.724	1	2	4	464.933	0
4.725	1	4	5	1367.51	0
4.726	1	6	6	1018.53	0
4.727	1	1	7	430.292	0
4.728	1	5	8	209.155	0
4.761	1	3	1	313.819	0
4.762	1	7	2	47.5345	0
4.764	1	2	4	2588.11	0
4.765	1	4	5	2405.39	0
4.766	1	6	6	1730.12	0
4.767	1	1	7	587.385	0
4.768	1	5	8	219.37	0
4.801	1	3	1	338.486	0
4.802	1	7	2	127.858	0
4.804	1	2	4	2648.52	0
4.805	1	4	5	1150.9	0
4.806	1	6	6	625.242	0
4.807	1	1	7	74.8897	0
4.808	1	5	8	436.269	0
4.841	1	3	1	211.91	0
4.842	1	7	2	207.078	0
4.844	1	2	4	596.527	0
4.845	1	4	5	875.385	0
4.846	1	6	6	344.193	0
4.847	1	1	7	497.927	0
4.848	1	5	8	181.819	0
4.881	1	3	1	70.0838	0
4.882	1	7	2	561.366	0
4.884	1	2	4	340.814	0
4.885	1	4	5	451.039	0
4.886	1	6	6	657.587	0
4.887	1	1	7	332.056	0
4.888	1	5	8	203.126	0
4.921	1	3	1	146.895	0
4.922	1	7	2	236.607	0
4.924	1	2	4	143.166	0
4.925	1	4	5	172.86	0
