% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
15.093	1	7	1510	4	2	28	749	0	0	0
15.093	1	2	1510	4	4	28	749	0	0	0
15.093	1	4	1510	4	5	28	749	0	0	0
15.173	1	3	1518	4	1	28	2196	0	0	0
15.413	1	5	1542	4	8	28	2196	0	0	0
15.493	1	6	1550	4	6	28	1095	0	0	0
15.493	1	1	1550	4	7	28	1095	0	0	0
15.573	1	7	1558	4	2	28	749	0	0	0
15.573	1	2	1558	4	4	28	749	0	0	0
15.573	1	4	1558	4	5	28	749	0	0	0
15.653	1	3	1566	4	1	28	2196	0	0	0
15.869	1	1	1587	10	7	20	1191	0	0	0
15.87	1	1	1588	1	7	20	1191	0	0	0
15.889	1	1	1589	10	7	22	1383	0	0	0
15.89	1	1	1590	1	7	22	1383	0	0	0
15.893	1	5	1590	4	8	20	1191	0	0	0
15.909	1	1	1591	10	7	22	1383	0	0	0
15.91	1	1	1592	1	7	22	1383	0	0	0
15.929	1	1	1593	10	7	22	1383	0	0	0
15.93	1	1	1594	1	7	22	1383	0	0	0
15.949	1	1	1595	10	7	22	1383	0	0	0
15.95	1	1	1596	1	7	22	1383	0	0	0
15.969	1	1	1597	10	7	22	1383	0	0	0
15.97	1	1	1598	1	7	22	1383	0	0	0
15.973	1	6	1598	4	6	28	2196	0	0	0
15.989	1	1	1599	10	7	22	1383	0	0	0
15.99	1	1	1600	1	7	22	1383	0	0	0
16.009	1	1	1601	10	7	22	1383	0	0	0
16.01	1	1	1602	1	7	22	1383	0	0	0
16.029	1	1	1603	10	7	22	1383	0	0	0
16.03	1	1	1604	1	7	22	1383	0	0	0
16.049	1	1	1605	10	7	22	1383	0	0	0
16.05	1	1	1606	1	7	22	1383	0	0	0
16.053	1	7	1606	4	2	22	693	0	0	0
16.053	1	2	1606	4	4	28	1095	0	0	0
16.069	1	1	1607	10	7	22	1383	0	0	0
16.07	1	1	1608	1	7	22	1383	0	0	0
16.089	1	1	1609	10	7	22	1383	0	0	0
16.09	1	1	1610	1	7	22	1383	0	0	0
16.109	1	1	1611	10	7	22	1383	0	0	0
16.11	1	1	1612	1	7	22	1383	0	0	0
16.129	1	1	1613	10	7	22	1383	0	0	0
16.13	1	1	1614	1	7	22	1383	0	0	0
16.133	1	3	1614	4	1	28	2196	0	0	0
16.149	1	1	1615	10	7	22	1383	0	0	0
16.15	1	1	1616	1	7	22	1383	0	0	0
16.169	1	1	1617	10	7	22	1383	0	0	0
16.17	1	1	1618	1	7	22	1383	0	0	0
16.189	1	1	1619	10	7	22	1383	0	0	0
16.19	1	1	1620	1	7	22	1383	0	0	0
16.209	1	1	1621	10	7	22	1383	0	0	0
16.21	1	1	1622	1	7	22	1383	0	0	0
16.229	1	1	1623	10	7	22	1383	0	0	0
16.23	1	1	1624	1	7	22	1383	0	0	0
16.249	1	1	1625	10	7	22	1383	0	0	0
16.25	1	1	1626	1	7	22	1383	0	0	0
16.269	1	1	1627	10	7	22	1383	0	0	0
16.27	1	1	1628	1	7	22	1383	0	0	0
16.289	1	1	1629	10	7	22	1383	0	0	0
16.29	1	1	1630	1	7	22	1383	0	0	0
16.309	1	1	1631	10	7	22	1383	0	0	0
16.31	1	1	1632	1	7	22	1383	0	0	0
16.329	1	1	1633	10	7	22	1383	0	0	0
16.33	1	1	1634	1	7	22	1383	0	0	0
16.349	1	1	1635	10	7	22	1383	0	0	0
16.35	1	1	1636	1	7	22	1383	0	0	0
16.373	1	5	1638	4	8	22	1383	0	0	0
16.453	1	6	1646	4	6	28	2196	0	0	0
16.533	1	7	1654	4	2	28	1095	0	0	0
16.533	1	2	1654	4	4	28	1095	0	0	0
16.613	1	4	1662	4	5	28	2196	0	0	0
16.848	1	3	1685	9	1	28	2196	0	0	0
16.853	1	5	1686	4	8	28	2196	0	0	0
16.933	1	6	1694	4	6	28	2196	0	0	0
17.013	1	7	1702	4	2	24	807	0	0	0
17.013	1	2	1702	4	4	24	807	0	0	0
17.093	1	4	1710	4	5	28	1095	0	0	0
