,Unnamed: 0,input_data,output_data,received_data_real,received_data_imag,transmitted_data_real,transmitted_data_imag,encoded_data_real,encoded_data_imag,decoded_data_real,decoded_data_imag
959,959,159,151,0.4091460704803467,-1.490914821624756,-0.3938675820827484,-0.15260553359985352,1.4142135381698608,1.4142135381698608,-1.4142135381698608,1.4142135381698608
989,989,181,181,0.0024331361055374146,-0.018868617713451385,0.003335690591484308,0.9637569785118104,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
1000,1000,39,49,-0.3572724461555481,0.3384855389595032,0.3836283087730408,-0.09278442710638046,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608
1011,1011,17,13,1.0740503072738647,0.042380452156066895,0.6147477030754089,-0.3945419788360596,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608
1038,1038,104,111,0.375148355960846,-0.08211452513933183,0.0898643508553505,-0.5486713647842407,1.4142135381698608,1.4142135381698608,1.4142135381698608,-1.4142135381698608
1048,1048,215,225,0.597657322883606,0.16354690492153168,-0.05485940724611282,-0.18923494219779968,-1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608
1064,1064,134,141,-0.8312876224517822,0.37175965309143066,0.20889244973659515,-0.02274460159242153,1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
1086,1086,134,140,0.7551478147506714,-0.14065192639827728,-0.4802264869213104,0.08946080505847931,1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
1094,1094,198,199,-0.2182949185371399,1.0099947452545166,0.4324316084384918,-0.9225430488586426,-1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608
1112,1112,236,234,-0.4415774643421173,0.13933202624320984,-0.14724735915660858,0.2926383912563324,1.4142135381698608,-1.4142135381698608,1.4142135381698608,1.4142135381698608
1130,1130,67,72,-0.7840771675109863,0.06604980677366258,-0.12620186805725098,0.4444288909435272,-1.4142135381698608,1.4142135381698608,1.4142135381698608,-1.4142135381698608
1141,1141,44,42,0.4367929697036743,-0.5930558443069458,-1.1699334383010864,-0.1733836680650711,1.4142135381698608,1.4142135381698608,-1.4142135381698608,-1.4142135381698608
1153,1153,5,5,-1.1967498064041138,0.14592589437961578,0.868521511554718,0.4079717695713043,-1.4142135381698608,1.4142135381698608,-1.4142135381698608,-1.4142135381698608
1181,1181,106,98,-0.549494743347168,-0.5482760667800903,0.8771867752075195,0.38257476687431335,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
1202,1202,100,98,0.3462638258934021,-1.4796851873397827,-0.025681043043732643,-0.194730281829834,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
1282,1282,228,234,0.3955796360969544,-0.8918558359146118,-0.07071071863174437,-0.10502523183822632,1.4142135381698608,-1.4142135381698608,1.4142135381698608,1.4142135381698608
1283,1283,228,234,0.016922181472182274,0.5396232604980469,0.3121320307254791,-0.5707106590270996,1.4142135381698608,-1.4142135381698608,1.4142135381698608,1.4142135381698608
1293,1293,228,234,0.7142888903617859,-0.5306467413902283,-0.4313203990459442,-1.1252119541168213,1.4142135381698608,-1.4142135381698608,1.4142135381698608,1.4142135381698608
1319,1319,70,73,-0.1303800791501999,-0.2470382899045944,0.30257779359817505,0.134621262550354,1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
1344,1344,136,140,0.2713335454463959,0.003015086054801941,0.0522041916847229,0.3786569237709045,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
1357,1357,181,182,0.4733281433582306,0.15924763679504395,0.31846919655799866,0.1440773457288742,1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
