,Unnamed: 0,input_data,output_data,received_data_real,received_data_imag,transmitted_data_real,transmitted_data_imag,encoded_data_real,encoded_data_imag,decoded_data_real,decoded_data_imag
888,888,39,46,-0.12297682464122772,0.3725390434265137,0.018884284421801567,-0.3624188005924225,-1.0,0.0,-1.0,0.0
894,894,53,46,0.34520506858825684,0.20551711320877075,0.30229830741882324,0.0051512601785361775,1.0,0.0,-1.0,0.0
905,905,51,46,0.7467790246009827,-0.08198033273220062,0.08284270763397218,-0.3121320605278015,1.0,0.0,-1.0,0.0
913,913,40,46,-0.15239661931991574,0.3703048229217529,0.1864631474018097,0.4282337129116057,1.0,0.0,-1.0,0.0
941,941,51,52,-0.06633847951889038,0.24881745874881744,0.03981117159128189,-0.007044303696602583,1.0,0.0,-1.0,0.0
945,945,42,38,0.060343161225318916,-0.5525974631309509,0.4446229934692383,-0.11333440989255905,1.0,0.0,-1.0,0.0
960,960,27,19,0.05597610026597977,0.208516389131546,-0.04306439310312271,0.15851043164730072,1.0,0.0,-1.0,0.0
963,963,17,19,0.08872675895690918,-0.02700862288475037,-0.05326249822974205,-0.08770772069692613,-1.0,0.0,-1.0,0.0
973,973,216,221,0.1315038800239563,0.03383199125528336,0.004160052631050347,0.007926002144813538,-1.0,0.0,1.0,0.0
976,976,227,221,-0.33044251799583435,-0.6031882762908936,-0.3781602084636688,0.5226568579673767,1.0,0.0,1.0,0.0
980,980,139,144,-0.3928291499614716,-0.32292747497558594,-0.11094261705875397,-0.012369918636977673,1.0,0.0,1.0,0.0
990,990,209,207,0.2863811254501343,0.7148343324661255,-0.13751333951950073,-0.028775274753570564,1.0,0.0,1.0,0.0
1029,1029,188,192,-0.18954841792583466,-0.1454658955335617,0.02750326506793499,0.3504373729228973,-1.0,0.0,1.0,0.0
1064,1064,91,93,0.1454675942659378,0.024547647684812542,0.04881131649017334,0.299003541469574,-1.0,0.0,-1.0,0.0
1083,1083,216,219,-0.1985447108745575,-0.11977621912956238,-0.11758754402399064,0.1451774835586548,-1.0,0.0,1.0,0.0
1084,1084,216,219,-0.4636712372303009,0.18258418142795566,0.25488242506980896,0.3940206468105316,-1.0,0.0,1.0,0.0
1089,1089,191,200,-0.5141462087631226,0.327144980430603,-0.5,0.0,-1.0,0.0,1.0,0.0
1091,1091,205,200,-0.3265327215194702,-0.20301058888435364,0.2355099767446518,-0.02075662650167942,-1.0,0.0,1.0,0.0
1106,1106,57,51,0.13724501430988312,0.3494013547897339,0.11945533007383348,0.29832273721694946,1.0,0.0,-1.0,0.0
1114,1114,131,133,-0.016461744904518127,0.15761438012123108,0.2821236252784729,-0.4814170300960541,-1.0,0.0,1.0,0.0
1137,1137,231,227,0.2587684392929077,-0.26783668994903564,-0.01328821200877428,-0.014191753230988981,1.0,0.0,1.0,0.0
1178,1178,55,60,-0.5342781543731691,-0.09807271510362624,-0.2006271630525589,0.06818483024835588,-1.0,0.0,-1.0,0.0
1179,1179,57,60,0.007098093628883363,-0.19404612481594088,0.15219290554523468,0.23673252761363986,1.0,0.0,-1.0,0.0
1180,1180,67,60,0.14133992791175842,0.18097002804279327,0.07856949418783188,-0.21727345883846286,-1.0,0.0,-1.0,0.0
1186,1186,13,12,0.6404922604560852,-0.18836306035518646,-0.20000000298023224,0.0,1.0,0.0,-1.0,0.0
1198,1198,149,156,0.7851037979125977,-0.05037233978509903,0.08284270763397218,-0.3121320605278015,1.0,0.0,1.0,0.0
1223,1223,115,105,0.5138410329818726,0.4343534409999848,0.34966060519218445,-0.16755767166614532,-1.0,0.0,-1.0,0.0
1231,1231,55,60,0.19359710812568665,0.036016467958688736,-0.10000000149011612,0.08786797523498535,-1.0,0.0,-1.0,0.0
1236,1236,68,60,-0.015042081475257875,-0.4843739867210388,0.037713617086410516,0.21274323761463165,1.0,0.0,-1.0,0.0
1246,1246,245,252,-0.04985542967915535,0.08463386446237564,-0.058578647673130035,0.3292893469333649,1.0,0.0,1.0,0.0
1248,1248,27,19,-0.7678822875022888,-0.36795905232429504,-0.2121320515871048,0.5828427672386169,1.0,0.0,-1.0,0.0
1268,1268,73,83,-0.4807116687297821,0.2366557866334915,0.4535534083843231,-0.04142136499285698,-1.0,0.0,-1.0,0.0
1276,1276,222,229,0.37235763669013977,-0.40327227115631104,0.21856248378753665,-0.04018980264663696,-1.0,0.0,1.0,0.0
1284,1284,235,229,-0.058028750121593475,-0.15866214036941528,-0.15994560718536374,0.24323301017284396,-1.0,0.0,1.0,0.0
1290,1290,67,57,-0.006898321211338043,0.2501325309276581,0.31389546394348145,0.27157777547836304,-1.0,0.0,-1.0,0.0
1318,1318,89,89,0.35469815135002136,-1.0132232904434204,-0.10199540108442308,-0.4282262921333313,1.0,0.0,-1.0,0.0
1335,1335,74,69,0.3271209597587585,-0.08908689767122269,0.5734446048736572,-0.03574249893426895,-1.0,0.0,-1.0,0.0
1342,1342,136,133,-0.6342514157295227,0.03881097584962845,-0.2275127619504929,-0.0165605079382658,-1.0,0.0,1.0,0.0
1359,1359,221,216,0.5765720009803772,0.18909327685832975,-0.28857338428497314,-0.2351633310317993,-1.0,0.0,1.0,0.0
1398,1398,177,180,0.07358724623918532,-0.1221228539943695,-0.10000000149011612,-0.30000001192092896,1.0,0.0,1.0,0.0
1399,1399,177,180,0.4116588234901428,0.3964516520500183,-0.10000000149011612,0.0,-1.0,0.0,1.0,0.0
1401,1401,189,180,0.4970483481884002,0.46856489777565,0.0,0.0,1.0,0.0,1.0,0.0
1406,1406,245,245,0.0746636763215065,-0.3140554130077362,0.2592259347438812,-0.19093050062656405,1.0,0.0,1.0,0.0
1409,1409,244,245,0.026538761332631108,0.2493976056575775,-0.2923879325389862,-0.43454909324646,1.0,0.0,1.0,0.0
1414,1414,34,29,0.3466019034385681,0.1448952853679657,-0.4389734268188477,0.3304234445095062,1.0,0.0,-1.0,0.0
1423,1423,198,194,0.1579669862985611,0.4689860641956329,-0.011920339427888392,-0.13621877133846286,1.0,0.0,1.0,0.0
1425,1425,40,32,-0.03085836209356785,-0.28553324937820435,-0.0707106813788414,0.17085781693458554,1.0,0.0,-1.0,0.0
1427,1427,223,216,0.12551802396774292,-0.053961772471666336,-0.28362056612968445,0.05394700914621353,-1.0,0.0,1.0,0.0
1433,1433,211,216,0.17782580852508545,0.3050079941749573,-0.012132025323808191,-0.10000000149011612,-1.0,0.0,1.0,0.0
1435,1435,206,216,0.10052577406167984,0.3253258764743805,0.7601979970932007,0.2181359976530075,1.0,0.0,1.0,0.0
1442,1442,245,242,0.12182363867759705,-0.156648188829422,0.049769725650548935,-0.2482511103153229,-1.0,0.0,1.0,0.0
1463,1463,108,118,0.00439745932817459,-0.7275497317314148,0.2570706307888031,-0.14125148952007294,-1.0,0.0,-1.0,0.0
1464,1464,120,118,-0.15503978729248047,0.4911111891269684,0.366108387708664,-0.1277143806219101,1.0,0.0,-1.0,0.0
