% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
3.202	2	3	2	18.4877	0
3.203	2	5	3	16309.6	0
3.241	1	2	1	42.4323	0
3.241	2	4	1	0.502524	0
3.242	1	1	2	483.165	0
3.242	2	3	2	5.0261	0
3.243	2	5	3	7410.14	0
3.281	1	2	1	64.7512	0
3.281	2	4	1	5.1752	0
3.282	1	1	2	213.945	0
3.282	2	3	2	4.02759	0
3.283	2	5	3	4445.65	0
3.321	1	2	1	68.0454	0
3.321	2	4	1	6.37613	0
3.322	1	1	2	20.1666	0
3.322	2	3	2	14.6362	0
3.323	2	5	3	10849.1	0
3.361	1	2	1	24.7294	0
3.361	2	4	1	9.40155	0
3.362	1	1	2	39.6651	0
3.362	2	3	2	0.978366	0
3.363	2	5	3	14188.2	0
3.401	1	2	1	3.03945	0
3.401	2	4	1	6.16554	0
3.402	1	1	2	1.44051	0
3.402	2	3	2	32.8357	0
3.403	2	5	3	4704.99	0
3.441	1	2	1	0.321206	0
3.441	2	4	1	4.05458	0
3.442	1	1	2	1.76088	0
3.442	2	3	2	76.0105	0
3.443	2	5	3	5842.1	0
3.481	1	2	1	3.4153	0
3.481	2	4	1	2.82178	0
3.482	1	1	2	5.81121	0
3.482	2	3	2	29.0357	0
3.483	2	5	3	7819.83	0
3.521	1	2	1	4.74935	0
3.521	2	4	1	0.583583	0
3.522	1	1	2	44.9161	0
3.522	2	3	2	1.75227	0
3.523	2	5	3	2868.9	0
3.561	1	2	1	2.27964	0
3.561	2	4	1	0.107492	0
3.562	1	1	2	117.063	0
3.562	2	3	2	2.84346	0
3.563	2	5	3	4602.97	0
3.601	1	2	1	1.6004	0
3.601	2	4	1	0.640801	0
3.602	1	1	2	62.645	0
3.602	2	3	2	15.2202	0
3.603	2	5	3	4940.85	0
3.641	1	2	1	48.3305	0
3.641	2	4	1	22.3283	0
3.642	1	1	2	27.3382	0
3.642	2	3	2	4.70062	0
3.643	2	5	3	1477.7	0
3.681	1	2	1	8.35802	0
3.681	2	4	1	1.06304	0
3.682	1	1	2	52.2725	0
3.682	2	3	2	8.65963	0
3.683	2	5	3	1185.43	0
3.721	1	2	1	13.8239	0
3.721	2	4	1	0.822033	0
3.722	1	1	2	5.01273	0
3.722	2	3	2	12.0516	0
3.723	2	5	3	7702.73	0
3.761	1	2	1	20.2978	0
3.761	2	4	1	5.32002	0
3.762	1	1	2	1.77418	0
3.762	2	3	2	14.4381	0
3.763	2	5	3	8319.03	0
3.801	1	2	1	26.1811	0
3.801	2	4	1	2.45063	0
3.802	1	1	2	22.9671	0
3.802	2	3	2	46.0115	0
3.803	2	5	3	18662	0
3.841	1	2	1	23.2182	0
3.841	2	4	1	1.11405	0
3.842	1	1	2	37.7704	0
3.842	2	3	2	105.593	0
3.843	2	5	3	9808.33	0
3.881	1	2	1	16.0214	0
3.881	2	4	1	2.22825	0
3.882	1	1	2	6.42362	0
3.882	2	3	2	9.17243	0
3.883	2	5	3	1172.34	0
3.921	1	2	1	56.3294	0
3.921	2	4	1	1.60594	0
3.922	1	1	2	0.759171	0
3.922	2	3	2	44.7709	0
3.923	2	5	3	2156.39	0
3.961	1	2	1	10.9591	0
3.961	2	4	1	14.8881	0
3.962	1	1	2	4.60375	0
3.962	2	3	2	32.5944	0
3.963	2	5	3	2830.05	0
4.001	1	2	1	18.9047	0
4.001	2	4	1	7.73309	0
4.002	1	1	2	9.23905	0
4.002	2	3	2	44.8483	0
4.003	2	5	3	5394.59	0
4.041	1	2	1	11.4118	0
4.041	2	4	1	0.622348	0
4.042	1	1	2	4.61744	0
